parameter,level,value,year,lambda_total,M_climate,ssp
k,k010,0.1,2025,5.125176941173545,0.957691402643519,ssp126
k,k010,0.1,2050,5.759683615549838,1.0762555695856102,ssp126
k,k010,0.1,2075,5.890442566285519,1.100689242606218,ssp126
k,k013,0.13,2025,5.057251465718645,0.9449988234365748,ssp126
k,k013,0.13,2050,5.88211013253321,1.099132240461293,ssp126
k,k013,0.13,2075,6.052096758199204,1.1308960153880834,ssp126
k,k020,0.2,2025,4.8987586816016035,0.915382805287038,ssp126
k,k020,0.2,2050,6.1677719807212465,1.1525111391712204,ssp126
k,k020,0.2,2075,6.429289829441363,1.201378485212436,ssp126
eta,eta_low,0.15,2025,3.034350879431187,0.9449988234365748,ssp126
eta,eta_low,0.15,2050,3.529266079519925,1.099132240461293,ssp126
eta,eta_low,0.15,2075,3.631258054919522,1.1308960153880834,ssp126
eta,eta_base,0.25,2025,5.057251465718645,0.9449988234365748,ssp126
eta,eta_base,0.25,2050,5.88211013253321,1.099132240461293,ssp126
eta,eta_base,0.25,2075,6.052096758199204,1.1308960153880834,ssp126
eta,eta_high,0.33,2025,6.675571934748612,0.9449988234365748,ssp126
eta,eta_high,0.33,2050,7.764385374943837,1.099132240461293,ssp126
eta,eta_high,0.33,2075,7.98876772082295,1.1308960153880834,ssp126
